,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,cluster_genres,cluster_attributs,artist_track
8106,78qd8dvwea0Gosb6Fe6j3k,Doja Cat,Boss Bitch,Boss bitch,79,134239,False,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,4,dance,0,3,Doja Cat - Boss bitch
8107,44ONERBHALxftQNWq6dmyd,"Ariana Grande, Nicki Minaj",Dangerous Woman,Side to side,76,226160,True,0.65,0.736,6,-5.84,0,0.229,0.0513,0.0,0.235,0.612,159.174,4,dance,0,5,"Ariana Grande, Nicki Minaj - Side to side"
8108,0z8hI3OPS8ADPWtoCjjLl6,"Shawn Mendes, Tainy",Summer Of Love,Summer of love (shawn mendes & tainy),82,184104,False,0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988,4,dance,0,2,"Shawn Mendes, Tainy - Summer of love"
8109,0nrRP2bk19rLc0orkWPQk2,Avicii,True,Wake me up,85,247426,False,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4,dance,0,2,Avicii - Wake me up
8110,1rfofaqEpACxVEHIZBJe6W,"Camila Cabello, Young Thug",Camila,Havana (feat. young thug),80,217306,False,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,4,dance,0,2,"Camila Cabello, Young Thug - Havana"
8111,3zkWCteF82vJwv0hRLba76,Shawn Mendes,Handwritten,Stitches,80,206880,False,0.746,0.754,1,-6.684,1,0.0676,0.0152,0.0,0.0486,0.746,149.882,4,dance,0,2,Shawn Mendes - Stitches
8112,7a53HqqArd4b9NF4XAmlbI,Ava Max,Heaven & Hell,Kings & queens,81,162398,False,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,4,dance,0,3,Ava Max - Kings & queens
8113,737gzPI5VAmgUGWiJ9yXuu,"Sofía Reyes, Jason Derulo, De La Ghetto",Mal De Amores,"1, 2, 3 (feat. jason derulo & de la ghetto)",73,201526,False,0.792,0.895,1,-3.112,0,0.0587,0.165,0.0,0.0501,0.793,94.968,4,dance,0,3,"Sofía Reyes, Jason Derulo, De La Ghetto - 1, 2, 3"
8114,0hquQWY3xvYqN4qtiquniF,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (from the original motion picture soundtrack elvis),90,182906,True,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,4,dance,0,5,Doja Cat - Vegas
8115,0zzVTGyRrWpQu8Fr28NRAv,"Marshmello, Demi Lovato",OK Not To Be OK,Ok not to be ok,75,159862,False,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072,4,dance,0,3,"Marshmello, Demi Lovato - Ok not to be ok"
8116,5Odq8ohlgIbQKMZivbWkEo,"Charlie Puth, Jung Kook, Bts",CHARLIE,Left and right (feat. jung kook of bts),75,154486,False,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,4,dance,0,2,"Charlie Puth, Jung Kook, Bts - Left and right"
8117,0VpEX8ib3wE7u8NOw4szU6,Prettymuch,Phases - EP,Eyes off you,71,204266,False,0.631,0.512,0,-9.675,0,0.0572,0.511,0.0,0.0827,0.529,106.027,4,dance,0,3,Prettymuch - Eyes off you
8118,10xV5l9nhLvFpR8mqzs0bL,"Marshmello, Khalid",Numb,Numb,87,155588,False,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,4,dance,0,3,"Marshmello, Khalid - Numb"
8119,3eR23VReFzcdmS7TYCrhCe,"Kygo, Selena Gomez",It Ain't Me (with Selena Gomez),It ain't me (with selena gomez),77,220780,False,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,4,dance,0,2,"Kygo, Selena Gomez - It ain't me"
8120,0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,Cheating on You,Cheating on you,78,196606,False,0.749,0.535,4,-6.785,1,0.0336,0.0131,3.65e-05,0.0982,0.601,123.042,4,dance,0,2,Charlie Puth - Cheating on you
8121,2oejEp50ZzPuQTQ6v54Evp,"The Chainsmokers, Bebe Rexha",World War Joy,Call you mine,75,217640,False,0.585,0.696,4,-5.6,0,0.0307,0.204,0.0,0.344,0.522,104.01,4,dance,0,3,"The Chainsmokers, Bebe Rexha - Call you mine"
8122,23L5CiUhw2jV1OIMwthR3S,"Martin Garrix, Bebe Rexha",In the Name of Love,In the name of love,79,195706,False,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,4,dance,0,3,"Martin Garrix, Bebe Rexha - In the name of love"
8123,5ln5yQdUywVbf8HhFsOcd6,Halsey,hopeless fountain kingdom (Deluxe),Walls could talk,77,101789,True,0.626,0.423,1,-6.035,1,0.0513,0.128,0.0,0.18,0.571,95.162,4,dance,0,5,Halsey - Walls could talk
8124,7DnAm9FOTWE3cUvso43HhI,Ava Max,Heaven & Hell,Sweet but psycho,81,187436,False,0.72,0.706,1,-4.719,1,0.0473,0.0684,0.0,0.166,0.62,133.002,4,dance,0,2,Ava Max - Sweet but psycho
8125,4v7DCN09hgXkKazefkznDQ,Akon,Trouble Deluxe Edition,Lonely,81,235800,True,0.634,0.526,5,-7.881,0,0.0333,0.339,0.0,0.257,0.623,90.087,4,dance,0,5,Akon - Lonely
8126,7vGuf3Y35N4wmASOKLUVVU,"Marshmello, Khalid",Silence,Silence,81,180822,False,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,4,dance,0,2,"Marshmello, Khalid - Silence"
8127,3uwnnTQcHM1rDqSfA4gQNz,Demi Lovato,Confident,Cool for the summer,81,214739,True,0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,4,dance,0,5,Demi Lovato - Cool for the summer
8128,3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,"thank u, next","Thank u, next",82,207320,True,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,4,dance,0,5,"Ariana Grande - Thank u, next"
8129,1I4lCSP69P74nU3a6Su5L2,"Duke & Jones, Louis Theroux",Jiggle Jiggle,Jiggle jiggle,77,97208,False,0.864,0.412,1,-5.886,1,0.273,0.458,0.00087,0.124,0.654,99.992,4,dance,0,2,"Duke & Jones, Louis Theroux - Jiggle jiggle"
8130,6IPNp9PfaEqrzotY47TIWy,"Dj Snake, Ozuna, Megan Thee Stallion, Lisa","SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","Sg (with ozuna, megan thee stallion & lisa of blackpink)",77,225600,True,0.8,0.837,6,-2.807,0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,4,dance,0,5,"Dj Snake, Ozuna, Megan Thee Stallion, Lisa - Sg"
8131,7xoUc6faLbCqZO6fQEYprd,Ariana Grande,My Everything (Deluxe),One last time,83,197266,False,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,4,dance,0,2,Ariana Grande - One last time
8132,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,Dua Lipa (Deluxe),New rules,81,209320,False,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,4,dance,0,3,Dua Lipa - New rules
8133,0YammaEkYSeo9vQYZ1OwS6,"David Guetta, Bebe Rexha, J Balvin",7,Say my name,73,198946,False,0.703,0.66,10,-5.119,0,0.123,0.137,0.0,0.192,0.79,95.031,4,dance,0,3,"David Guetta, Bebe Rexha, J Balvin - Say my name"
8134,5knuzwU65gJK7IF5yJsuaW,"Clean Bandit, Sean Paul, Anne-Marie",Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. sean paul & anne-marie),75,251088,False,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,4,dance,0,3,"Clean Bandit, Sean Paul, Anne-Marie - Rockabye"
8135,59qrUpoplZxbIZxk6X0Bm3,Jason Derulo,Take You Dancing,Take you dancing,78,190306,False,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,4,dance,0,2,Jason Derulo - Take you dancing
8138,22vgEDb5hykfaTwLuskFGD,Jonas Brothers,Happiness Begins,Sucker,81,181026,False,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,4,dance,0,3,Jonas Brothers - Sucker
8139,0qvzXomUDJVaUboy2wMfiS,Niall Horan,Flicker (Deluxe),This town,80,232852,False,0.677,0.401,9,-8.467,1,0.0308,0.712,0.0,0.116,0.195,111.825,4,dance,0,6,Niall Horan - This town
8140,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,Dua Lipa (Deluxe),Idgaf,80,217946,True,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028,4,dance,0,5,Dua Lipa - Idgaf
8141,1BCXUbnU0486n4eeTyyVIj,Charlie Puth,CHARLIE,Loser,75,204376,False,0.698,0.623,8,-7.845,0,0.037,0.623,0.0856,0.179,0.625,102.002,4,dance,0,3,Charlie Puth - Loser
8142,0wPKDeY4fZXT6k9bzV0kx0,Charlie Puth,CHARLIE,That's hilarious,72,144933,True,0.713,0.442,6,-5.909,1,0.0604,0.739,0.0,0.112,0.546,108.038,4,dance,0,5,Charlie Puth - That's hilarious
8143,2qG81jL9UIP54uS8gYyP4k,"Lauv, Bts",~how i'm feeling~,Who (feat. bts),76,180413,False,0.632,0.339,11,-7.983,0,0.0337,0.546,0.0,0.104,0.0969,141.642,3,dance,0,6,"Lauv, Bts - Who"
8144,4oTn7ylKtjeMYwxatEVFAt,Charlie Puth,CHARLIE,Loser,71,204376,False,0.698,0.623,8,-7.845,0,0.037,0.623,0.0856,0.179,0.625,102.002,4,dance,0,3,Charlie Puth - Loser
8145,1jEBSDN5vYViJQr78W7jr2,Charlie Puth,CHARLIE,Light switch,71,187703,False,0.689,0.627,6,-5.692,1,0.308,0.105,0.000321,0.0905,0.905,184.008,4,dance,0,2,Charlie Puth - Light switch
8146,5WtfUKzXircvW8l5aaVZWT,"Julia Michaels, Niall Horan",Inner Monologue Part 1,What a time (feat. niall horan),82,173306,False,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861,4,dance,0,6,"Julia Michaels, Niall Horan - What a time"
8147,1Lim1Py7xBgbAkAys3AGAG,"Major Lazer, Mø, Dj Snake",Peace Is The Mission (Extended),Lean on,73,176561,False,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,4,dance,0,3,"Major Lazer, Mø, Dj Snake - Lean on"
8148,2iUXsYOEPhVqEBwsqP70rE,5 Seconds Of Summer,Youngblood (Deluxe),Youngblood,81,203417,False,0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,4,dance,0,3,5 Seconds Of Summer - Youngblood
8149,72jbDTw1piOOj770jWNeaG,The Chainsmokers,Memories...Do Not Open,Paris,74,221506,False,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,4,dance,0,2,The Chainsmokers - Paris
8150,04ZTP5KsCypmtCmQg5tH9R,Bebe Rexha,Expectations,I'm a mess,74,195519,False,0.63,0.694,11,-6.257,0,0.0253,0.00281,0.0,0.0719,0.216,97.005,4,dance,0,3,Bebe Rexha - I'm a mess
8151,62ke5zFUJN6RvtXZgVH0F8,Paloma Faith,A Perfect Contradiction (Outsiders' Expanded Edition),Only love can hurt like this,87,232893,False,0.566,0.885,8,-4.528,1,0.0818,0.0958,9.97e-05,0.334,0.304,90.99,4,dance,0,2,Paloma Faith - Only love can hurt like this
8152,3ZFTkvIE7kyPt6Nu3PEa7V,"Shakira, Wyclef Jean","Oral Fixation, Vol. 2 (Expanded Edition)",Hips don't lie (feat. wyclef jean),84,218093,False,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,4,dance,0,3,"Shakira, Wyclef Jean - Hips don't lie"
8154,0U1W2LZVUX7qTm7dDpqxh6,Shawn Mendes,When You're Gone,When you're gone,82,172266,False,0.603,0.691,5,-5.805,1,0.0372,0.0248,0.0,0.583,0.577,147.148,4,dance,0,2,Shawn Mendes - When you're gone
8155,1yvMUkIOTeUNtNWlWRgANS,Sia,This Is Acting (Deluxe Version),Unstoppable,82,217746,False,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,4,dance,0,2,Sia - Unstoppable
8156,1V6gIisPpYqgFeWbMLI0bA,Demi Lovato,Demi,Heart attack,78,210840,False,0.504,0.785,8,-4.802,1,0.104,0.0738,0.0,0.239,0.502,173.968,4,dance,0,2,Demi Lovato - Heart attack
8158,6XHVuErjQ4XNm6nDPVCxVX,"Chris Brown, Drake",Indigo,No guidance (feat. drake),80,260640,True,0.696,0.454,1,-6.756,0,0.153,0.123,0.0,0.155,0.136,92.928,4,dance,0,5,"Chris Brown, Drake - No guidance"
8160,0Ryd8975WihbObpp5cPW1t,"Ariana Grande, Social House",boyfriend,Boyfriend (with social house),80,186106,True,0.4,0.795,10,-3.731,0,0.461,0.119,0.0,0.159,0.702,190.097,4,dance,0,5,"Ariana Grande, Social House - Boyfriend"
8161,4vVTI94F9uJ8lHNDWKv0i2,"Sean Kingston, Justin Bieber",Eenie Meenie,Eenie meenie,75,201946,False,0.72,0.607,1,-4.168,1,0.0322,0.0543,0.0,0.113,0.828,121.223,4,dance,0,2,"Sean Kingston, Justin Bieber - Eenie meenie"
8162,748mdHapucXQri7IAO8yFK,"Doja Cat, Sza",Kiss Me More (feat. SZA),Kiss me more (feat. sza),82,208866,True,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,4,dance,0,5,"Doja Cat, Sza - Kiss me more"
8163,0PDUDa38GO8lMxLCRc4lL1,Zayn,Mind Of Mine (Deluxe Edition),Pillowtalk,78,202746,True,0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,0.438,124.944,4,dance,0,5,Zayn - Pillowtalk
8164,3Z8FwOEN59mRMxDCtb8N0A,"Marshmello, Halsey",Be Kind (with Halsey),Be kind (with halsey),77,172761,False,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.995,4,dance,0,2,"Marshmello, Halsey - Be kind"
8165,2VqAEP1yY5T523K7bZtL8a,Akon,Freedom,Right now (na na na),71,240746,False,0.83,0.857,8,-4.194,0,0.152,0.262,0.0,0.413,0.607,137.982,4,dance,0,3,Akon - Right now
8166,4vjpLMyL3ZO6aphdYr8XYw,"Lauv, Troye Sivan",~how i'm feeling~,I'm so tired...,76,162586,False,0.576,0.736,11,-7.572,1,0.224,0.178,0.0,0.238,0.484,101.928,4,dance,0,2,"Lauv, Troye Sivan - I'm so tired..."
8167,09AvsbivV1FQBRAEBJh7UL,The Chainsmokers,So Far So Good,High,75,175163,True,0.601,0.787,0,-6.178,1,0.031,0.0492,0.0,0.142,0.525,134.981,4,dance,0,5,The Chainsmokers - High
8168,4C6Uex2ILwJi9sZXRdmqXp,Nicki Minaj,Super Freaky Girl,Super freaky girl,92,170977,True,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,4,dance,0,5,Nicki Minaj - Super freaky girl
8169,6kex4EBAj0WHXDKZMEJaaF,"Jason Derulo, Nicki Minaj, Ty Dolla $Ign",Swalla (feat. Nicki Minaj & Ty Dolla $ign),Swalla (feat. nicki minaj & ty dolla $ign),76,216408,True,0.696,0.817,1,-3.862,1,0.109,0.075,0.0,0.187,0.782,98.064,4,dance,0,5,"Jason Derulo, Nicki Minaj, Ty Dolla $Ign - Swalla"
8170,0VO8gYVDSwM1Qdd2GsMoYK,"Swedish House Mafia, The Weeknd",Paradise Again,Moth to a flame (with the weeknd),83,234000,False,0.553,0.659,8,-7.295,1,0.0391,0.0027,0.0,0.105,0.105,120.146,4,dance,0,2,"Swedish House Mafia, The Weeknd - Moth to a flame"
8171,2kQuhkFX7uSVepCD3h29g5,"Akon, Eminem",Konvicted,Smack that,81,212360,True,0.939,0.742,5,-5.171,0,0.0467,0.321,0.0,0.107,0.924,118.978,4,dance,0,5,"Akon, Eminem - Smack that"
8172,7FGq80cy8juXBCD2nrqdWU,"Benny Blanco, Halsey, Khalid",FRIENDS KEEP SECRETS,Eastside (with halsey & khalid),78,170769,False,0.632,0.686,6,-7.665,0,0.243,0.549,0.0,0.2,0.329,89.949,4,dance,0,3,"Benny Blanco, Halsey, Khalid - Eastside"
8174,6h5PAsRni4IRlxWr6uDPTP,Axwell /\ Ingrosso,More Than You Know,More than you know,80,203000,False,0.646,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.571,123.077,4,dance,0,3,Axwell /\ Ingrosso - More than you know
8176,18asYwWugKjjsihZ0YvRxO,"Tiësto, Ava Max",The Motto,The motto,86,164818,False,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,4,dance,0,3,"Tiësto, Ava Max - The motto"
8177,7fZBQnc0zXwVybgCIrQQil,"Imanbek, Byor",Belly Dancer,Belly dancer,87,151475,False,0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985,4,dance,0,2,"Imanbek, Byor - Belly dancer"
8178,2Cd9iWfcOpGDHLz6tVA3G4,"Shakira, Freshlyground",Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Waka waka (this time for africa) [the official 2010 fifa world cup (tm) song] (feat. freshlyground),79,202626,False,0.766,0.873,11,-6.381,0,0.143,0.00627,0.0,0.0764,0.743,126.988,4,dance,0,3,"Shakira, Freshlyground - Waka waka   song]"
8180,42ydLwx4i5V49RXHOozJZq,Alessia Cara,Know-It-All (Deluxe),Scars to your beautiful,74,230226,False,0.319,0.739,0,-5.74,1,0.272,0.0285,0.0,0.111,0.449,194.169,4,dance,0,2,Alessia Cara - Scars to your beautiful
8181,4hQ6UGyWQIGJmHSo0J88JW,Selena Gomez,Back To You (From 13 Reasons Why – Season 2 Soundtrack),Back to you - from 13 reasons why – season 2 soundtrack,74,207904,False,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,4,dance,0,2,Selena Gomez - Back to you - from 13 reasons why – season 2 soundtrack
8182,0KoiMHhqKLoL4xM54rcWYY,"Dj Snake, Selena Gomez, Ozuna, Cardi B",Carte Blanche,"Taki taki (feat. selena gomez, ozuna & cardi b)",73,212500,True,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,4,dance,0,5,"Dj Snake, Selena Gomez, Ozuna, Cardi B - Taki taki"
8183,4xigPf2sigSPmuFH3qCelB,"Sia, Diplo, Labrinth, Lsd","LABRINTH, SIA & DIPLO PRESENT... LSD","Genius (feat. sia, diplo, and labrinth)",76,213706,False,0.603,0.615,11,-4.931,0,0.165,0.0799,6.72e-05,0.117,0.561,158.657,4,dance,0,3,"Sia, Diplo, Labrinth, Lsd - Genius"
8184,0azC730Exh71aQlOt9Zj3y,"Calvin Harris, Rihanna",This Is What You Came For,This is what you came for,81,222160,False,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,4,dance,0,3,"Calvin Harris, Rihanna - This is what you came for"
8185,5OCJzvD7sykQEKHH7qAC3C,Ariana Grande,Sweetener,God is a woman,80,197546,True,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,4,dance,0,5,Ariana Grande - God is a woman
8186,3DmW6y7wTEYHJZlLo1r6XJ,Becky G,Shower,Shower,78,206166,False,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,4,dance,0,2,Becky G - Shower
8192,0wI7QkCcs8FUQE1OkXUIqd,Alessia Cara,Know-It-All,Scars to your beautiful,78,230240,False,0.573,0.739,0,-5.74,1,0.129,0.0285,0.0,0.111,0.451,97.085,4,dance,0,2,Alessia Cara - Scars to your beautiful
8194,09IStsImFySgyp0pIQdqAc,"Zedd, Maren Morris, Grey",The Middle,The middle,80,184732,False,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,4,dance,0,2,"Zedd, Maren Morris, Grey - The middle"
8197,3yOlyBJuViE2YSGn3nVE1K,"Camila Cabello, Dababy",Romance,My oh my (feat. dababy),76,170746,False,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,4,dance,0,2,"Camila Cabello, Dababy - My oh my"
8199,4eWQlBRaTjPPUlzacqEeoQ,Camila Cabello,Camila,Never be the same,74,226973,False,0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,4,dance,0,2,Camila Cabello - Never be the same
8201,0laYHRpNTS6i8FXdupHkJ4,Selena Gomez & The Scene,When The Sun Goes Down,Love you like a love song,81,188453,False,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,4,dance,0,3,Selena Gomez & The Scene - Love you like a love song
8202,2P4OICZRVAQcYAV2JReRfj,Avicii,Stories,Waiting for love,81,230613,False,0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,4,dance,0,3,Avicii - Waiting for love
8203,3DarAbFujv6eYNliUTyqtz,"Doja Cat, Sza",Planet Her,Kiss me more (feat. sza),81,208666,True,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,4,dance,0,5,"Doja Cat, Sza - Kiss me more"
8206,26wLOs3ZuHJa2Ihhx6QIE6,5 Seconds Of Summer,13 Reasons Why (Season 3),Teeth,79,204887,False,0.756,0.448,3,-2.993,0,0.0404,0.0508,3.87e-06,0.11,0.431,139.031,4,dance,0,3,5 Seconds Of Summer - Teeth
8207,3uUuGVFu1V7jTQL60S1r8z,"Lost Frequencies, Calum Scott",Where Are You Now,Where are you now,88,148197,False,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,4,dance,0,3,"Lost Frequencies, Calum Scott - Where are you now"
8208,72gv4zhNvRVdQA0eOenCal,"Clean Bandit, Zara Larsson",What Is Love? (Deluxe Edition),Symphony (feat. zara larsson),76,212733,False,0.715,0.605,0,-5.128,0,0.0428,0.239,1.41e-05,0.189,0.454,122.956,4,dance,0,3,"Clean Bandit, Zara Larsson - Symphony"
8210,2hrUO4drrO63i7FYbCLBl2,"Clean Bandit, Sean Paul, Anne-Marie",What Is Love? (Deluxe Edition),Rockabye (feat. sean paul & anne-marie),72,251173,False,0.717,0.73,9,-4.729,0,0.0568,0.383,0.0,0.398,0.792,102.002,4,dance,0,3,"Clean Bandit, Sean Paul, Anne-Marie - Rockabye"
8211,6XO8RlYuJCiI0v3IA48FeJ,"Marshmello, Juice Wrld",Bye Bye,Bye bye,83,108498,True,0.645,0.525,3,-5.399,0,0.0355,0.0574,0.0,0.505,0.238,83.018,4,dance,0,5,"Marshmello, Juice Wrld - Bye bye"
8212,4E5P1XyAFtrjpiIxkydly4,Iyaz,Replay,Replay,76,182306,False,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,4,dance,0,2,Iyaz - Replay
8213,02VBYrHfVwfEWXk5DXyf0T,"Bruno Mars, Anderson .Paak, Silk Sonic",An Evening With Silk Sonic,Leave the door open,84,242096,False,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4,dance,0,2,"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the door open"
8216,41Fflg7qHiVOD6dEPvsCzO,"Fifth Harmony, Kid Ink",Reflection (Deluxe),Worth it (feat. kid ink),74,224573,False,0.884,0.765,8,-3.865,1,0.0882,0.063,7.04e-06,0.118,0.594,99.987,4,dance,0,2,"Fifth Harmony, Kid Ink - Worth it"
8220,1i36kkhmhBxf4lYJscg5zK,Bazzi,COSMIC,Fantasy,75,148229,True,0.699,0.668,5,-4.272,0,0.0336,0.154,3.2e-06,0.362,0.314,144.105,4,dance,0,5,Bazzi - Fantasy
8222,6ic8OlLUNEATToEFU3xmaH,Britney Spears,Blackout,Gimme more,79,251240,False,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,4,dance,0,2,Britney Spears - Gimme more
8223,71R6zJsrF3ffc3TBFHfivX,Mohombi,MoveMeant (International),Bumpy ride,72,224720,False,0.706,0.842,0,-4.628,0,0.038,0.0476,0.0,0.134,0.818,104.958,4,dance,0,3,Mohombi - Bumpy ride
8224,0QBzMgT7NIeoCYy3sJCof1,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Bam bam (feat. ed sheeran),87,206070,False,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,4,dance,0,2,"Camila Cabello, Ed Sheeran - Bam bam"
8226,60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Hot Pink,Streets,83,226986,True,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,4,dance,0,5,Doja Cat - Streets
8227,1IIKrJVP1C9N7iPtG6eOsK,"Chris Brown, Young Thug",Slime & B,Go crazy,78,176960,True,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,4,dance,0,5,"Chris Brown, Young Thug - Go crazy"
8228,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,24K Magic,That's what i like,83,206693,False,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,4,dance,0,2,Bruno Mars - That's what i like
8229,3ebXMykcMXOcLeJ9xZ17XH,"Martin Garrix, Dua Lipa",Scared to Be Lonely,Scared to be lonely,78,220883,False,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,4,dance,0,3,"Martin Garrix, Dua Lipa - Scared to be lonely"
8230,6ZANrVuAMp2rpjhfbOuJly,Selena Gomez,Revival (Deluxe),Same old love,71,229080,False,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02,4,dance,0,3,Selena Gomez - Same old love
8231,47BBI51FKFwOMlIiX6m8ya,Backstreet Boys,Millennium,I want it that way,81,213306,False,0.689,0.694,6,-5.83,0,0.027,0.257,0.0,0.148,0.482,99.039,4,dance,0,3,Backstreet Boys - I want it that way
8232,7eQHxigpuDJjCG50JyzU8v,"Max, Ali Gatie",Butterflies,Butterflies,76,191250,False,0.7,0.613,11,-4.041,1,0.0408,0.385,0.0,0.0887,0.42,88.084,4,dance,0,2,"Max, Ali Gatie - Butterflies"
8233,3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Future Nostalgia,Don't start now,81,183290,False,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,4,dance,0,3,Dua Lipa - Don't start now
8234,0TDLuuLlV54CkRRUOahJb4,"David Guetta, Sia",Nothing but the Beat (Ultimate Edition),Titanium (feat. sia),80,245040,False,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,4,dance,0,3,"David Guetta, Sia - Titanium"
8235,6T689Jvh5KrSXyaPtUWZtQ,Britney Spears,Femme Fatale (Deluxe Version),Criminal,72,225080,False,0.696,0.734,7,-5.294,1,0.0298,0.0485,0.0,0.183,0.711,107.987,4,dance,0,2,Britney Spears - Criminal
8236,6wmAHw1szh5RCKSRjiXhPe,Charlie Puth,Voicenotes,How long,73,200853,False,0.845,0.561,1,-5.253,0,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,4,dance,0,3,Charlie Puth - How long
